Rank,Released,Movie,"Domestic
Box Office","International
Box Office","Worldwide
Box Office"
48,2017,Dunkirk,"$190,068,280","$322,321,731","$512,390,011"
49,2004,The Polar Express,"$188,042,855","$124,140,582","$312,183,437"
50,2011,Sherlock Holmes: A Game of Shadows,"$186,848,418","$348,815,025","$535,663,443"
51,1995,Batman Forever,"$184,031,112","$152,498,032","$336,529,144"
52,1993,The Fugitive,"$183,875,760","$169,839,557","$353,715,317"
53,2001,Ocean's Eleven,"$183,417,150","$267,311,379","$450,728,529"
54,2000,The Perfect Storm,"$182,618,434","$146,093,000","$328,711,434"
55,2017,The Lego Batman Movie,"$175,750,384","$134,812,712","$310,563,096"
56,2018,Crazy Rich Asians,"$174,532,921","$63,281,228","$237,814,149"
57,1999,The Matrix,"$173,993,387","$291,980,811","$465,974,198"
58,2022,Black Adam,"$168,283,344","$222,171,744","$390,455,088"
59,2017,Kong: Skull Island,"$168,052,812","$393,019,247","$561,072,059"
60,1991,Robin Hood: Prince of Thieves,"$165,493,908","$225,006,092","$390,500,000"
61,2010,Clash of the Titans,"$163,214,888","$330,000,000","$493,214,888"
62,1992,Batman Returns,"$162,833,635","$103,990,656","$266,824,291"
63,2018,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$488,899,438","$648,455,339"
64,2024,Godzilla x Kong: The New Empire,"$157,932,000","$278,600,000","$436,532,000"
65,2015,San Andreas,"$155,190,832","$301,067,707","$456,258,539"
66,2015,Mad Max: Fury Road,"$153,636,354","$216,237,515","$369,873,869"
67,2002,Scooby-Doo,"$153,294,164","$123,000,000","$276,294,164"
68,2008,Sex and the City,"$152,647,258","$262,600,000","$415,247,258"
69,1984,Gremlins,"$151,661,913","$783,845","$152,445,758"
70,2022,Elvis,"$151,416,153","$128,522,481","$279,938,634"
71,2013,We’re the Millers,"$150,394,119","$117,422,157","$267,816,276"
72,2003,Terminator 3: Rise of the Machines,"$150,358,296","$282,700,000","$433,058,296"
73,2008,Gran Torino,"$148,095,302","$126,447,783","$274,543,085"
74,1989,Lethal Weapon 2,"$147,253,986","$80,046,014","$227,300,000"
75,2018,The Meg,"$145,443,742","$381,824,086","$527,267,828"
76,2013,The Great Gatsby,"$144,840,419","$208,657,314","$353,497,733"
77,1992,Lethal Weapon 3,"$144,731,527","$174,968,473","$319,700,000"
78,2019,Pokémon: Detective Pikachu,"$144,105,346","$284,814,480","$428,919,826"
79,2019,Shazam!,"$140,371,656","$223,192,251","$363,563,907"
80,2018,Ocean’s 8,"$140,218,711","$157,500,000","$297,718,711"
81,2003,The Matrix Revolutions,"$139,270,910","$288,029,350","$427,300,260"
82,2018,Ready Player One,"$137,690,172","$441,365,481","$579,055,653"
83,2013,The Conjuring,"$137,400,141","$179,079,009","$316,479,150"
84,1999,The Green Mile,"$136,801,374","$153,900,000","$290,701,374"
85,2012,Argo,"$136,025,503","$91,115,254","$227,140,757"
86,1978,Superman,"$134,218,018","$165,981,982","$300,200,000"
87,2004,Troy,"$133,298,577","$349,853,463","$483,152,040"
88,2006,The Departed,"$132,384,315","$157,276,304","$289,660,619"
89,1998,Lethal Weapon 4,"$130,444,603","$154,955,397","$285,400,000"
90,2008,Get Smart,"$130,319,208","$96,420,208","$226,739,416"
91,2016,Central Intelligence,"$127,440,871","$89,753,934","$217,194,805"
92,2016,The Legend of Tarzan,"$126,643,061","$222,258,964","$348,902,025"
93,2004,Ocean's Twelve,"$125,531,634","$237,457,442","$362,989,076"
94,2009,Terminator Salvation,"$125,322,469","$240,169,323","$365,491,792"
95,2016,Sully,"$125,070,033","$113,454,523","$238,524,556"
96,2023,Aquaman and the Lost Kingdom,"$124,481,226","$309,364,338","$433,845,564"
97,1992,The Bodyguard,"$122,006,740","$289,000,000","$411,006,740"
98,2008,Four Christmases,"$120,146,040","$48,165,518","$168,311,558"
99,1974,Blazing Saddles,"$119,500,000",$603,"$119,500,603"
100,2011,Horrible Bosses,"$117,538,559","$94,879,042","$212,417,601"
101,2018,The Nun,"$117,450,119","$245,449,918","$362,900,037"
102,2007,Ocean's Thirteen,"$117,144,465","$194,600,000","$311,744,465"
103,2011,Green Lantern,"$116,601,172","$102,934,320","$219,535,492"
104,1998,You’ve Got Mail,"$115,821,495","$134,978,505","$250,800,000"
105,1999,Wild Wild West,"$113,805,681","$107,423,654","$221,229,335"
106,2012,Magic Mike,"$113,721,571","$56,828,182","$170,549,753"
107,2013,The Hangover 3,"$112,200,072","$249,800,000","$362,000,072"
108,2003,The Last Samurai,"$111,110,575","$345,700,000","$456,810,575"
109,2019,Godzilla: King of the Monsters,"$110,500,138","$272,799,776","$383,299,914"
110,2010,Valentine's Day,"$110,485,654","$107,083,674","$217,569,328"
111,2021,Dune,"$109,987,830","$321,143,679","$431,131,509"
112,2015,Creed,"$109,767,581","$63,800,000","$173,567,581"
113,1996,A Time to Kill,"$108,766,007","$43,500,000","$152,266,007"
114,1995,Ace Ventura: When Nature Calls,"$108,360,063","$104,039,937","$212,400,000"
115,1981,Superman II,"$108,185,706","$82,214,294","$190,400,000"
116,2023,The Flash,"$108,167,507","$158,382,825","$266,550,332"
117,2009,Watchmen,"$107,509,799","$79,466,451","$186,976,250"
118,1997,Batman & Robin,"$107,325,195","$130,992,619","$238,317,814"
119,1999,Analyze This,"$106,885,658","$70,000,000","$176,885,658"
120,2000,Miss Congeniality,"$106,807,667","$106,613,284","$213,420,951"
121,1989,Driving Miss Daisy,"$106,593,296",,"$106,593,296"
122,2014,300: Rise of an Empire,"$106,580,051","$224,200,000","$330,780,051"
123,2019,The LEGO Movie 2: The Second Part,"$105,806,508","$84,324,527","$190,131,035"
124,1994,Interview with the Vampire,"$105,264,608","$118,300,000","$223,564,608"
125,1978,Every Which Way but Loose,"$104,268,727",,"$104,268,727"
126,2012,Journey 2: The Mysterious Island,"$103,860,290","$214,285,872","$318,146,162"
127,2018,The Mule,"$103,804,407","$69,649,587","$173,453,994"
128,2016,The Conjuring 2: The Enfield Poltergeist,"$102,470,008","$207,726,324","$310,196,332"
129,2017,Annabelle: Creation,"$102,092,201","$203,292,664","$305,384,865"
130,2013,Pacific Rim,"$101,802,906","$309,200,000","$411,002,906"
131,2008,Journey to the Center of the Earth,"$101,704,370","$141,476,567","$243,180,937"
132,1994,Maverick,"$101,631,272","$81,383,965","$183,015,237"
133,1996,Eraser,"$101,295,562","$133,104,438","$234,400,000"
134,1992,Unforgiven,"$101,157,447","$58,000,000","$159,157,447"
135,2018,Rampage,"$101,028,233","$326,918,984","$427,947,217"
136,1997,Contact,"$100,920,329","$64,979,671","$165,900,000"
137,2021,Godzilla vs. Kong,"$100,916,094","$349,146,980","$450,063,074"
138,1993,The Pelican Brief,"$100,768,056","$87,227,803","$187,995,859"
139,2010,Due Date,"$100,539,043","$111,200,000","$211,739,043"
140,2004,Million Dollar Baby,"$100,492,203","$131,436,024","$231,928,227"
141,2010,Yogi Bear,"$100,246,011","$104,528,679","$204,774,690"
142,2014,Edge of Tomorrow,"$100,206,256","$266,822,724","$367,028,980"
143,1971,Billy Jack,"$98,000,000",,"$98,000,000"
144,2008,Yes Man,"$97,690,976","$128,300,000","$225,990,976"
145,2022,Fantastic Beasts: The Secrets of Dumbledore,"$95,850,844","$308,709,301","$404,560,145"
146,2010,Sex and the City 2,"$95,347,692","$199,333,086","$294,680,778"
147,2013,42,"$95,020,213","$2,450,488","$97,470,701"
148,2010,The Book of Eli,"$94,835,059","$63,915,758","$158,750,817"
149,2008,"10,000 B.C.","$94,784,201","$174,281,477","$269,065,678"
150,1985,The Color Purple,"$94,029,472",,"$94,029,472"
151,2009,He's Just Not That Into You,"$93,953,653","$87,100,004","$181,053,657"
152,2022,DC League of Super Pets,"$93,657,117","$110,234,472","$203,891,589"
153,2007,The Bucket List,"$93,466,502","$81,340,943","$174,807,445"
154,2001,Cats & Dogs,"$93,375,151","$107,324,849","$200,700,000"
155,2002,Two Weeks Notice,"$93,354,918","$105,688,391","$199,043,309"
156,2010,The Town,"$92,186,262","$60,380,619","$152,566,881"
157,1994,The Client,"$92,115,211","$25,500,000","$117,615,211"
158,2017,Blade Runner 2049,"$92,054,159","$165,754,600","$257,808,759"
159,1996,Space Jam,"$90,463,534","$159,716,850","$250,180,384"
160,2000,Space Cowboys,"$90,454,043","$38,420,000","$128,874,043"
161,2015,Get Hard,"$90,411,453","$21,300,000","$111,711,453"
162,2003,Mystic River,"$90,135,191","$66,686,829","$156,822,020"
163,2004,Starsky & Hutch,"$88,200,225","$82,000,000","$170,200,225"
164,2012,The Campaign,"$86,907,746","$18,000,000","$104,907,746"
165,1990,Presumed Innocent,"$86,303,188","$134,996,812","$221,300,000"
166,2023,The Nun II,"$86,270,590","$181,790,255","$268,060,845"
167,2016,The Accountant,"$86,260,045","$66,702,038","$152,962,083"
168,1999,Pokemon: The First Movie,"$85,744,662","$77,900,000","$163,644,662"
169,2014,Tammy,"$84,525,432","$11,882,223","$96,407,655"
170,2011,"Crazy, Stupid, Love","$84,351,197","$62,142,777","$146,493,974"
171,2014,Annabelle,"$84,273,813","$172,583,714","$256,857,527"
172,2004,Scooby-Doo 2: Monsters Unleashed,"$84,185,387","$96,671,609","$180,856,996"
173,2020,Birds of Prey (And the Fantabulous Emancipation…,"$84,158,461","$116,847,091","$201,005,552"
174,2012,Wrath of the Titans,"$83,670,083","$221,600,000","$305,270,083"
175,1992,Under Siege,"$83,563,139","$73,000,000","$156,563,139"
176,2018,Smallfoot,"$83,240,103","$131,004,092","$214,244,195"
177,1994,Disclosure,"$83,015,089","$129,184,911","$212,200,000"
178,2023,Meg 2: The Trench,"$82,633,033","$311,666,127","$394,299,160"
179,1981,Arthur,"$81,464,486",,"$81,464,486"
180,1984,Police Academy,"$81,198,894",,"$81,198,894"
181,2005,The Dukes of Hazzard,"$80,270,227","$29,578,234","$109,848,461"
182,2012,Dark Shadows,"$79,727,149","$165,837,066","$245,564,215"
183,1998,City of Angels,"$78,750,909","$120,000,000","$198,750,909"
184,2001,Artificial Intelligence: AI,"$78,616,689","$157,283,311","$235,900,000"
185,1993,Free Willy,"$77,698,625","$76,000,000","$153,698,625"
186,2009,Where the Wild Things Are,"$77,233,467","$21,890,189","$99,123,656"
187,2001,Training Day,"$76,261,036","$28,244,316","$104,505,352"
188,1997,Conspiracy Theory,"$76,118,990","$66,664,728","$142,783,718"
189,2005,Constantine,"$75,976,178","$145,617,376","$221,593,554"
190,2015,The Intern,"$75,764,672","$121,351,038","$197,115,710"
191,2011,Contagion,"$75,658,097","$61,545,842","$137,203,939"
192,1999,Any Given Sunday,"$75,530,832","$24,700,000","$100,230,832"
193,1988,Beetlejuice,"$74,493,906","$618,753","$75,112,659"
194,2019,Annabelle Comes Home,"$74,152,591","$156,626,600","$230,779,191"
195,1989,National Lampoon’s Christmas Vacation,"$73,853,467","$18,821","$73,872,288"
196,1999,Deep Blue Sea,"$73,648,228","$91,400,000","$165,048,228"
197,2016,Storks,"$72,679,278","$110,674,153","$183,353,431"
198,2023,Blue Beetle,"$72,541,501","$56,235,516","$128,777,017"
199,2011,Dolphin Tale,"$72,286,779","$23,781,945","$96,068,724"
200,1994,Ace Ventura: Pet Detective,"$72,217,396","$35,000,000","$107,217,396"
201,2007,Fred Claus,"$72,006,777","$25,830,861","$97,837,638"
202,1995,Grumpier Old Men,"$71,518,503",,"$71,518,503"
203,1995,The Bridges of Madison County,"$71,516,617","$104,000,000","$175,516,617"
204,1980,Any Which Way You Can,"$70,687,344",,"$70,687,344"
205,2021,Space Jam: A New Legacy,"$70,592,228","$72,595,146","$143,187,374"
206,2006,V for Vendetta,"$70,511,035","$59,703,127","$130,214,162"
207,1991,JFK,"$70,405,498","$134,994,502","$205,400,000"
208,2008,Fool’s Gold,"$70,231,041","$39,131,925","$109,362,966"
209,1993,Grumpy Old Men,"$70,172,621",,"$70,172,621"
210,1980,Private Benjamin,"$69,847,348",,"$69,847,348"
211,2001,Swordfish,"$69,772,969","$77,307,444","$147,080,413"
212,2002,The Divine Secrets of the Ya-Ya Sisterhood,"$69,586,544","$4,240,224","$73,826,768"
213,2018,Game Night,"$69,179,066","$48,199,018","$117,378,084"
214,1984,Purple Rain,"$68,392,977","$1,248","$68,394,225"
215,1995,Outbreak,"$67,823,573","$122,200,000","$190,023,573"
216,1998,A Perfect Murder,"$67,658,331",,"$67,658,331"
217,1983,Sudden Impact,"$67,642,693",,"$67,642,693"
218,1995,Heat,"$67,436,818","$119,996,510","$187,433,328"
219,2023,Evil Dead Rise,"$67,356,372","$78,784,617","$146,140,989"
220,2016,Lights Out,"$67,268,835","$81,537,675","$148,806,510"
221,2002,Insomnia,"$67,263,182","$46,359,317","$113,622,499"
222,2003,Kangaroo Jack,"$66,723,216","$23,835,366","$90,558,582"
223,2009,The Final Destination,"$66,477,700","$120,906,927","$187,384,627"
224,2015,Magic Mike XXL,"$66,013,057","$57,567,364","$123,580,421"
225,2021,The Conjuring: The Devil Made Me Do It,"$65,631,050","$134,635,391","$200,266,441"
226,1987,Lethal Weapon,"$65,192,350","$55,000,000","$120,192,350"
227,2013,Jack the Giant Slayer,"$65,187,603","$132,500,000","$197,687,603"
228,2009,Friday the 13th,"$65,002,019","$27,668,218","$92,670,237"
229,1997,L.A. Confidential,"$64,604,977","$61,600,000","$126,204,977"
230,2009,17 Again,"$64,167,069","$75,307,837","$139,474,906"
231,2011,Happy Feet Two,"$64,006,466","$93,949,996","$157,956,462"
232,2006,Deep Sea 3D,"$63,909,721","$41,778,182","$105,687,903"
233,1987,The Witches of Eastwick,"$63,749,955",,"$63,749,955"
234,2011,Unknown,"$63,686,397","$72,436,686","$136,123,083"
235,1983,Risky Business,"$63,541,777",,"$63,541,777"
236,2009,The Time Traveler’s Wife,"$63,414,846","$38,917,289","$102,332,135"
237,1989,Tango & Cash,"$63,408,614",,"$63,408,614"
238,1993,Dave,"$63,270,710",,"$63,270,710"
239,1976,A Star is Born,"$63,129,898",,"$63,129,898"
240,2010,A Nightmare on Elm Street,"$63,075,011","$54,654,607","$117,729,618"
241,1985,The Goonies,"$62,947,466","$858,679","$63,806,145"
242,2015,Black Mass,"$62,575,678","$36,262,194","$98,837,872"
243,1981,Chariots of Fire,"$61,558,162","$352,345","$61,910,507"
244,1983,National Lampoon’s Vacation,"$61,400,000",,"$61,400,000"
245,1997,Devil’s Advocate,"$61,007,424","$92,000,000","$153,007,424"
246,2013,Prisoners,"$61,002,302","$52,308,245","$113,310,547"
247,2006,Poseidon,"$60,674,817","$121,000,000","$181,674,817"
248,1999,Three Kings,"$60,652,036","$47,100,000","$107,752,036"
249,2023,The Color Purple,"$60,619,191","$6,890,192","$67,509,383"
250,2012,The Lucky One,"$60,457,138","$36,176,695","$96,633,833"
251,1985,Spies Like Us,"$60,083,467",,"$60,083,467"
252,1983,Superman III,"$59,950,623","$20,249,377","$80,200,000"
253,2003,Gothika,"$59,588,068","$81,896,744","$141,484,812"
254,1991,The Last Boy Scout,"$59,509,925",,"$59,509,925"
255,2017,The Lego Ninjago Movie,"$59,281,555","$63,455,646","$122,737,201"
256,2015,Vacation,"$58,884,188","$43,422,312","$102,306,500"
257,2020,Tenet,"$58,504,105","$301,014,361","$359,518,466"
258,2018,Tomb Raider,"$58,250,803","$215,226,698","$273,477,501"
259,1993,Demolition Man,"$58,055,768","$101,000,000","$159,055,768"
260,1998,U.S. Marshals,"$57,833,603",,"$57,833,603"
261,2023,Shazam! Fury of the Gods,"$57,721,819","$74,554,356","$132,276,175"
262,2006,Blood Diamond,"$57,377,916","$114,000,000","$171,377,916"
263,1994,The Specialist,"$57,362,581","$113,000,000","$170,362,581"
264,2000,The Whole Nine Yards,"$57,262,492","$28,265,375","$85,527,867"
265,1972,"What's Up, Doc?","$57,142,740",,"$57,142,740"
266,1996,Executive Decision,"$56,679,192","$65,400,000","$122,079,192"
267,2016,Me Before You,"$56,245,075","$151,819,833","$208,064,908"
268,2000,Romeo Must Die,"$55,973,336","$35,063,424","$91,036,760"
269,1992,Forever Young,"$55,942,530","$72,000,000","$127,942,530"
270,2021,The Suicide Squad,"$55,817,425","$111,280,312","$167,097,737"
271,1999,Eyes Wide Shut,"$55,691,208","$48,573,409","$104,264,617"
272,2010,Legend of the Guardians: The Owls of Ga'Hoole,"$55,675,313","$84,041,404","$139,716,717"
273,1983,Never Say Never Again,"$55,500,000","$104,500,000","$160,000,000"
274,1985,Police Academy 2: Their First Assignment,"$55,337,042",,"$55,337,042"
275,2009,Ghosts of Girlfriends Past,"$55,250,026","$47,262,776","$102,512,802"
276,1991,Doc Hollywood,"$54,751,779",,"$54,751,779"
277,2019,The Curse of La Llorona,"$54,733,739","$68,400,000","$123,133,739"
278,2012,Project X,"$54,731,865","$48,296,323","$103,028,188"
279,2018,Tag,"$54,730,625","$22,294,319","$77,024,944"
280,2011,New Year’s Eve,"$54,544,638","$92,305,635","$146,850,273"
281,2014,Horrible Bosses 2,"$54,445,357","$51,500,000","$105,945,357"
282,2007,TMNT,"$54,149,098","$41,946,920","$96,096,018"
283,2016,Barbershop: The Next Cut,"$54,030,051","$374,151","$54,404,202"
284,2015,Focus,"$53,862,963","$114,202,737","$168,065,700"
285,1996,Tin Cup,"$53,854,588","$22,000,000","$75,854,588"
286,2007,"P.S., I Love You","$53,695,808","$102,073,870","$155,769,678"
287,2010,Life as We Know It,"$53,374,681","$52,513,156","$105,887,837"
288,2005,Corpse Bride,"$53,359,111","$61,411,543","$114,770,654"
289,1996,Sleepers,"$53,300,852","$112,300,000","$165,600,852"
290,2018,Life of the Party,"$53,059,911","$12,800,000","$65,859,911"
291,1999,Message in a Bottle,"$52,880,016",,"$52,880,016"
292,2010,Hubble 3D,"$52,753,175","$15,695,306","$68,448,481"
293,2006,The Lake House,"$52,330,111","$62,500,000","$114,830,111"
294,1979,10,"$52,134,699",,"$52,134,699"
295,1984,Amadeus,"$51,973,029",,"$51,973,029"
296,2001,Exit Wounds,"$51,758,599","$28,200,000","$79,958,599"
297,2004,A Cinderella Story,"$51,438,175","$18,674,309","$70,112,484"
298,1978,Hooper,"$51,290,536",,"$51,290,536"
299,1993,Dennis the Menace,"$51,270,765","$66,000,000","$117,270,765"
300,2004,The Phantom of the Opera,"$51,225,796","$102,544,256","$153,770,052"
301,1977,"Oh, God!","$51,061,196",,"$51,061,196"
302,1976,All the President’s Men,"$51,048,435",$422,"$51,048,857"
303,1995,Something to Talk About,"$50,865,589","$26,441,637","$77,307,226"
304,2005,Syriana,"$50,824,620","$41,866,339","$92,690,959"
305,1967,Bonnie and Clyde,"$50,700,000",$128,"$50,700,128"
306,2007,Music and Lyrics,"$50,572,589","$95,624,296","$146,196,885"
307,2014,If I Stay,"$50,474,843","$27,881,327","$78,356,170"
308,1994,Natural Born Killers,"$50,282,766",$797,"$50,283,563"
309,1993,Sommersby,"$50,081,992","$90,000,000","$140,081,992"
310,1995,Under Siege 2: Dark Territory,"$50,024,083","$54,300,000","$104,324,083"
311,2005,Racing Stripes,"$49,772,522","$40,036,911","$89,809,433"
312,1985,National Lampoon's European Vacation,"$49,400,000",,"$49,400,000"
313,2009,My Sister’s Keeper,"$49,200,230","$47,472,772","$96,673,002"
314,2007,Michael Clayton,"$49,033,882","$43,953,769","$92,987,651"
315,2019,Isn’t it Romantic,"$48,791,187",,"$48,791,187"
316,2006,Firewall,"$48,751,189","$34,000,000","$82,751,189"
317,2005,Miss Congeniality 2: Armed and Fabulous,"$48,478,006","$52,814,337","$101,292,343"
318,1992,Malcolm X,"$48,169,910",,"$48,169,910"
319,1984,Tightrope,"$48,100,000",,"$48,100,000"
320,1991,New Jack City,"$47,624,253",,"$47,624,253"
321,2014,Into the Storm,"$47,602,194","$102,827,177","$150,429,371"
322,2015,Jupiter Ascending,"$47,482,519","$134,500,000","$181,982,519"
323,1990,Hard To Kill,"$47,381,386",$141,"$47,381,527"
324,2014,The Judge,"$47,119,388","$28,954,168","$76,073,556"
325,2014,Jersey Boys,"$47,047,013","$18,235,719","$65,282,732"
326,1998,Practical Magic,"$46,850,558","$21,486,439","$68,336,997"
327,2016,How to be Single,"$46,843,513","$53,160,267","$100,003,780"
328,2020,Wonder Woman 1984,"$46,801,036","$119,559,196","$166,360,232"
329,1990,Goodfellas,"$46,743,809","$359,674","$47,103,483"
330,1975,Dog Day Afternoon,"$46,665,856",,"$46,665,856"
331,2021,Tom and Jerry,"$46,536,687","$85,833,413","$132,370,100"
332,2014,Blended,"$46,290,741","$81,700,000","$127,990,741"
333,1976,The Enforcer,"$46,200,000",,"$46,200,000"
334,1972,Deliverance,"$46,122,355",,"$46,122,355"
335,2013,Gangster Squad,"$46,000,903","$58,100,000","$104,100,903"
336,1984,"Greystoke: The Legend of Tarzan, Lord of the Apes","$45,900,000",,"$45,900,000"
337,2018,12 Strong,"$45,819,713","$25,298,665","$71,118,378"
338,1982,Firefox,"$45,785,720",,"$45,785,720"
339,2015,The Man From U.N.C.L.E.,"$45,445,109","$63,072,626","$108,517,735"
340,2022,"Don’t Worry, Darling","$45,309,403","$41,304,801","$86,614,204"
341,2011,Hall Pass,"$45,060,734","$42,112,741","$87,173,475"
342,1980,The Shining,"$45,052,898","$1,159,751","$46,212,649"
343,2017,Going in Style,"$45,018,541","$35,793,883","$80,812,424"
344,1987,Full Metal Jacket,"$45,015,999","$1,135","$45,017,134"
345,1993,Made In America,"$44,942,695","$60,000,000","$104,942,695"
346,2010,Cop Out,"$44,875,481","$11,034,429","$55,909,910"
347,2000,The Replacements,"$44,737,059","$5,317,452","$50,054,511"
348,1998,The Negotiator,"$44,705,766","$4,400,000","$49,105,766"
349,1972,Jeremiah Johnson,"$44,693,786",,"$44,693,786"
350,1973,Magnum Force,"$44,680,473",,"$44,680,473"
351,2008,The Sisterhood of the Traveling Pants 2,"$44,089,964","$180,167","$44,270,131"
352,1992,Passenger 57,"$44,065,653",,"$44,065,653"
353,2008,Speed Racer,"$43,945,766","$49,448,696","$93,394,462"
354,2005,Must Love Dogs,"$43,894,863","$14,510,450","$58,405,313"
355,2007,License to Wed,"$43,799,818","$26,387,270","$70,187,088"
356,2000,Pokemon 2000,"$43,746,923","$90,200,000","$133,946,923"
357,2010,Cats & Dogs: The Revenge of Kitty Galore,"$43,585,753","$69,440,630","$113,026,383"
358,1986,Police Academy 3: Back in Training,"$43,579,163",,"$43,579,163"
359,2006,We Are Marshall,"$43,545,364",,"$43,545,364"
360,2010,Edge of Darkness,"$43,313,890","$39,498,566","$82,812,456"
361,2007,No Reservations,"$43,107,979","$48,835,977","$91,943,956"
362,2016,War Dogs,"$43,034,523","$43,199,980","$86,234,503"
363,2005,Rumor Has It,"$42,996,140","$45,937,422","$88,933,562"
364,1986,Heartbreak Ridge,"$42,724,017",,"$42,724,017"
365,2015,Max,"$42,656,255","$1,001,902","$43,658,157"
366,2011,Final Destination 5,"$42,587,643","$112,423,522","$155,011,165"
367,2021,Mortal Kombat,"$42,326,031","$41,182,228","$83,508,259"
368,1968,Bullitt,"$42,300,873",$177,"$42,301,050"
369,2006,Lady in the Water,"$42,285,169","$30,500,000","$72,785,169"
370,2014,Dolphin Tale 2,"$42,024,533","$15,800,000","$57,824,533"
371,2001,Thirteen Ghosts,"$41,867,960","$26,600,000","$68,467,960"
372,2008,Nights in Rodanthe,"$41,850,659","$37,500,000","$79,350,659"
373,2004,Exorcist: The Beginning,"$41,814,863","$2,142,678","$43,957,541"
374,2009,Orphan,"$41,596,251","$37,173,177","$78,769,428"
375,1990,Gremlins 2: The New Batch,"$41,476,097",,"$41,476,097"
376,1985,Pale Rider,"$41,410,568",,"$41,410,568"
377,2002,A Walk to Remember,"$41,227,069","$4,833,792","$46,060,861"
378,1985,Pee Wee's Big Adventure,"$40,940,662",,"$40,940,662"
379,1993,Falling Down,"$40,903,593",,"$40,903,593"
380,2018,Paddington 2,"$40,891,591","$151,205,504","$192,097,095"
381,1999,House on Haunted Hill,"$40,846,082","$24,244,459","$65,090,541"
382,2021,The Matrix Resurrections,"$40,463,197","$118,734,558","$159,197,755"
383,2004,Catwoman,"$40,202,379","$41,875,667","$82,078,046"
384,2002,Collateral Damage,"$40,048,332","$38,305,176","$78,353,508"
